"","QE_I01","NT_GER","NT_FG","QE_I25"
"192","A",62.6,57.9,"C"
"193","A",53.3,59.9,"B"
"194","A",39.8,67.5,"H"
"195","B",34,52.4,"E"
"196","A",53,66.9,"H"
"197","A",47.3,38,"A"
"198","B",58.4,44.4,"A"
"199","A",59.2,86.6,"A"
"200","A",37,53.9,"E"
"201","A",61,57.9,"G"
"202","A",41.9,50.4,"A"
"203","A",58.6,61.1,"G"
"204","E",40.3,52.1,"G"
"205","B",39.6,29.6,"H"
"206","C",58.9,59.6,"H"
"207",NA,38.2,48.1,NA
"208","A",55.2,37.5,"H"
"209","A",55,59.1,"A"
"210","E",71.3,64,"E"
"211","A",57.7,60.8,"E"
"212","B",73.4,72.3,"H"
"213","A",59.6,67.1,"E"
"214","A",52.4,52.2,"E"
"215","A",70,76.8,"H"
"216","A",57.5,59.7,"E"
"217","E",46.8,43,"G"
"218","A",44.5,59.6,"B"
"219","A",65.7,70.6,"E"
"220","A",65,61.3,"E"
"221","A",57.8,50.5,"H"
"222","A",52.4,42.6,"E"
"223","A",51.6,54.5,"E"
"224","A",60.7,62.2,"B"
"225","A",63.5,69.1,"H"
"226","A",45.5,75.8,"H"
"227","A",46,57.4,"H"
"228","A",44.3,65.1,"E"
"229","A",21.4,30,"H"
"230","A",59.2,87.3,"A"
"231","A",38,59.8,"A"
"232","A",39.4,72.9,"G"
"233","A",37.4,53.8,"H"
"234","A",67,87.3,"E"
"235","A",49.3,82.1,"A"
"236","A",36.8,53.6,"E"
"237","A",49.5,69.9,"A"
"238","A",46.1,49.4,"A"
"239","A",40.8,47,"H"
"240","A",59.6,84.5,"C"
"241","A",42.9,83.1,"A"
"242","A",40,74.4,"C"
"243","A",57.2,73.2,"E"
"244","A",40.2,44.8,"E"
"245","A",43.6,66.9,"E"
"246","A",46.3,78.9,"C"
"247","A",57.2,45,"A"
"248","A",55.2,70.3,"H"
"249","A",61.8,44.8,"E"
"250","A",59.5,59.2,"C"
"251","A",41.9,59.8,"E"
"252","A",33.1,53.7,"H"
"253","A",37.3,44.8,"E"
"254","A",47.3,81.6,"E"
"255","A",34.3,45.8,"E"
"256","A",42.9,68.5,"E"
"257","A",28.8,52.7,"E"
"258","A",53.4,68.6,"E"
"259","A",41.8,63.5,"A"
"260","A",58.4,57.6,"E"
"261","A",38.6,73.4,"H"
"262","A",37.8,68.5,"E"
"263","B",71.4,87.3,"E"
"264","A",26.9,35.1,"A"
"265","A",68.8,81.3,"H"
"266","A",48.3,67.9,"A"
"267","A",56.6,52.5,"E"
"268","A",25.3,78,"A"
"269","A",53.2,77.1,"E"
"270","A",56.1,42.1,"E"
"271","A",42,60.3,"E"
"272","A",52.4,72.6,"B"
"273","A",68.1,79,"A"
"274","A",44.3,53.7,"H"
"275","A",69.9,77.2,"E"
"276","A",34.1,36.3,"A"
"277","A",36.5,53.4,"A"
"278","A",38.5,59.8,"C"
"279","A",44.9,80.9,"H"
"280","A",42.9,55,"A"
"281","A",42,63.2,"E"
"282","A",44.1,73,"A"
"283","A",30.6,64.5,"A"
"284","A",65.7,82.2,"E"
"285","A",59.7,70.1,"E"
"286","A",52.5,88.9,"A"
"287","A",39.8,54.1,"A"
"288","A",34.3,59.8,"C"
"289","A",41.9,71.8,"C"
"290","A",51.1,76.7,"C"
"291","A",53.1,51.4,"H"
"292","A",24.9,30,"G"
"293","A",47.7,74.6,"A"
"294","A",43.9,64.7,"C"
"295","A",43.9,72.3,"E"
"296","A",45.8,65.2,"E"
"297","A",23.3,27.9,"A"
"298","A",26.9,15,"B"
"299","B",42.7,78.2,"E"
"300","A",57.7,54.8,"E"
"301","A",30.4,55.4,"A"
"302","A",51,78.4,"H"
"303","A",53.5,45,"C"
"304","A",44.2,78.2,"A"
"305","A",24.6,30,"H"
"306","A",42.1,66.7,"A"
"307","A",27.6,33.2,"B"
"308","A",70,83.3,"C"
"309","A",40.8,47.6,"C"
"310","A",53.3,63.9,"A"
"311","A",30.4,65.9,"H"
"312","A",25.2,89.5,"A"
"313","A",63.6,81.1,"E"
"314","A",50.8,73.1,"A"
"315","A",28,41,"A"
"316","A",61.3,60.2,"E"
"317","A",48.2,66.3,"E"
"318","A",69.4,80.7,"E"
"319","A",57.1,85.4,"H"
"320","A",42.5,57.6,"A"
"321",NA,37.3,40,NA
"322","A",64.2,77.9,"E"
"323","A",38.8,21.2,"C"
"324","A",63.9,75.1,"E"
"325","A",50,79.9,"E"
"326","A",25.1,33.5,"E"
"327","A",57.3,70.3,"H"
"328","C",37.5,57.1,"B"
"329","A",61.5,64,"H"
"330","A",42.2,53.7,"H"
"331","A",57.4,79,"B"
"332","A",45.9,56.8,"B"
"333","A",60.9,54.2,"E"
"334","A",49.1,73.8,"E"
"335","A",49.9,73.9,"C"
"336","A",28.4,42.4,"E"
"337","A",17.6,7.5,"D"
"338","A",39.2,59.4,"H"
"339","A",55.6,74.4,"E"
"340","A",33.3,37.5,"E"
"341","A",48.8,66.7,"E"
"342","A",38.8,63.1,"E"
"343","A",27.7,62.9,"A"
"344","A",48.4,75.4,"B"
"345","A",61.5,90.1,"C"
"346","A",36.5,68.8,"A"
"347","A",21.9,33.4,"E"
"348","A",33.4,61.6,"C"
"349","A",37.5,74.5,"A"
"350","A",50.3,69.8,"E"
"351","A",32.8,51.5,"E"
"352","A",39,51.4,"A"
"353","B",47.9,37.5,"E"
"354","A",30.3,51.1,"A"
"355","A",57.2,84.3,"E"
"356","A",54.9,37.5,"E"
"357","A",69,74.9,"E"
"358","A",36.6,65.5,"E"
"359","A",30,56.2,"C"
"360","A",56.5,69.2,"E"
"361",NA,42.3,46.8,NA
"362","A",48,62.5,"E"
"363","A",44.2,60.2,"H"
"364","A",58.2,64.3,"E"
"365","A",26.2,46.3,"E"
"366","A",56.4,48,"E"
"367","A",39.9,42.8,"E"
"368","B",45.6,82.1,"A"
"369","A",51.2,76.4,"A"
"370","A",46,56.4,"A"
"371","A",57.2,63.3,"E"
"372","A",47.4,78.4,"E"
"373","A",37.4,58,"E"
"374","A",52.4,50.4,"E"
"375","A",52.6,73.7,"E"
"376","A",60.7,79.8,"A"
"377","A",41.6,52.5,"H"
"378","B",35.9,75.2,"A"
"379","A",54.1,56.6,"E"
"380","A",61.4,79.5,"C"
"381","A",48,57,"A"
"382","A",53.3,80.4,"E"
"383","A",58.5,53.5,"A"
"384","A",71.4,94.6,"A"
"385","A",48.9,92.4,"B"
"386","A",41.8,67,"E"
"387","A",39.8,53.2,"H"
"388","A",45.9,59.5,"C"
"389","A",66.1,49.5,"E"
"390","A",65.9,48.9,"C"
"391","A",59.3,64.7,"E"
"392","A",77.5,75.5,"E"
"393","E",40.2,60.7,"C"
"394","B",67.9,56.7,"E"
"395","A",74.9,92.8,"A"
"396","A",58.1,87.3,"C"
"397","A",45,55.6,"E"
"398","A",58.9,75.8,"E"
"399","A",65.5,63.6,"E"
"400","A",24.2,37.7,"E"
"401","A",52.3,62.1,"A"
"402","A",54.4,60,"A"
"403","A",58.9,72.1,"H"
"404","A",77.2,78.3,"A"
"405","A",41.8,56.6,"A"
"406","A",40.7,37.5,"E"
"407","A",75.7,81.5,"H"
"408","A",52.3,89.8,"H"
"409","A",74.7,67.4,"A"
"410","A",49.2,79.8,"A"
"411","A",52.9,57,"A"
"412","A",48.7,50.7,"E"
"413","A",55.1,71.1,"B"
"414","A",51.4,64.7,"C"
"415","A",70.5,63.9,"A"
"416","A",66.2,43.3,"A"
