"","QE_I01","NT_GER","NT_FG","QE_I25"
"839","B",54.7,47,"E"
"840","A",64.6,71.4,"B"
"841","A",78.1,72.2,"A"
"842","A",63.5,68.1,"B"
"843","B",61,54.3,"A"
"844","A",21,42.4,"A"
"845","A",37.3,74.9,"H"
"846","A",33.9,62.7,"A"
"847","A",40.8,63.5,"B"
"848","A",39.5,53.8,"A"
"849","A",55.1,67.9,"A"
"850","A",33.1,54.8,"H"
"851","A",58.8,67.1,"E"
"852","A",37.3,60.8,"E"
"853","A",33,28.4,"E"
"854","A",52.8,71.2,"E"
"855","A",32.8,26.3,"H"
"856","A",56.5,51.8,"E"
"857","A",46,47.9,"H"
"858","A",37.5,37.5,"B"
"859","B",45,58.3,"G"
"860","A",50.4,59,"E"
"861","A",44,40.1,"H"
"862","A",40.1,58.4,"H"
"863","A",50,63.5,"E"
"864","A",47.1,54.4,"A"
"865","A",49.6,60.8,"E"
"866","A",54.5,79.1,"A"
"867","A",24,15,"G"
"868","A",48.1,67.7,"E"
"869","A",30.7,30,"B"
"870","A",56.8,58.8,"E"
"871","A",44.2,64.4,"E"
"872","A",28.5,30.7,"C"
"873","A",39.1,55.2,"E"
"874","A",41.8,56.8,"C"
"875","A",33.9,56.1,"E"
"876","A",58.3,50.3,"A"
"877","A",45.4,71,"E"
"878","A",53.1,51.9,"A"
"879","A",42.7,45.7,"E"
"880","B",44.9,58.2,"A"
"881","A",69.2,80.9,"E"
"882","A",27.8,30,"A"
"883","A",36.3,52.6,"A"
"884","A",46.2,80,"E"
"885","A",55.6,73.6,"E"
"886","A",55.8,56.3,"E"
"887","B",19.1,22.5,"A"
"888","A",55.9,74.2,"A"
"889","A",46.7,70.8,"A"
"890","A",27.3,53.6,"A"
"891","A",51.4,59.9,"C"
"892","A",51.1,37.5,"E"
"893","B",41.6,59,"E"
"894","A",49.1,75.2,"E"
"895","A",48.4,26.9,"E"
"896","A",45.7,50.9,"H"
"897","A",52.5,62.5,"A"
"898","A",46.4,76.5,"H"
"899","A",25.8,37.7,"C"
"900","A",43.1,50.3,"A"
"901","A",55.3,65.1,"H"
"902","A",63,72.1,"H"
"903","A",48.5,61.9,"B"
"904","A",25.5,72.1,"C"
"905","A",55.6,58.9,"E"
"906","A",52.5,77.8,"A"
"907","A",32.8,15,"A"
"908","A",56.6,71.7,"C"
"909","B",33.5,35.4,"A"
"910","A",48.4,72.9,"H"
"911","B",27.8,30,"A"
"912","A",51.6,46.7,"C"
"913","A",27.4,40,"A"
"914","A",22.3,25.3,"E"
"915","A",50.6,67.5,"A"
"916","A",52.5,72.7,"C"
"917","A",29.1,53.8,"A"
"918","A",40.4,59.8,"A"
"919","A",49.8,44.5,"E"
"920","A",36.9,42.4,"A"
"921","A",49.4,37.9,"E"
"922","A",38.8,62.1,"E"
"923","A",70.4,59.1,"E"
"924","A",40.6,59.2,"E"
"925","A",53.9,37.9,"E"
"926","A",39.9,66.5,"H"
"927","A",34.4,24.3,"E"
"928","A",60.8,68.4,"E"
"929","A",29.1,35.5,"E"
"930","E",34.3,56.1,"E"
"931","A",46.8,58.9,"E"
"932","A",36,47.4,"E"
"933","A",32.1,46.8,"G"
"934","A",28.7,50.1,"E"
"935","A",39.2,55.2,"H"
"936","A",54.9,56.8,"E"
"937","A",35.4,51.1,"A"
"938","A",60,62.6,"E"
"939","A",54,44.2,"H"
"940","A",54.4,55.4,"E"
"941","A",20,30.2,"H"
"942","A",45.2,66.9,"H"
"943","A",42.8,48.7,"C"
"944","A",47,60.4,"E"
"945","B",38.2,51.1,"C"
"946","A",46.5,46.5,"B"
"947","B",65,73.5,"E"
"948","B",38.3,48,"E"
"949","A",40.6,54.6,"E"
"950","A",32.1,51.1,"H"
"951","A",34.3,26.3,"E"
"952","A",53.3,59.1,"A"
"953","A",31.7,60.9,"E"
"954","A",49.8,67.7,"E"
"955","A",35.6,57.8,"H"
"956","A",69.5,61.4,"E"
"957","A",51.1,58.2,"A"
"958","B",46.8,55.9,"H"
"959","A",35.5,37.4,"H"
"960","A",42.8,57.7,"E"
"961","A",33.4,42.9,"E"
"962","A",35.6,37.5,"A"
"963","A",55.7,54.2,"G"
"964","A",54.3,50.2,"H"
"965","E",66.3,68.5,"E"
"966","A",37.4,48.9,"E"
"967","A",59.1,71,"A"
"968","A",37.6,45.3,"E"
"969","A",40.5,65.8,"H"
"970","B",55.6,56.4,"E"
"971","A",54.8,71.7,"E"
"972","A",50.1,62.5,"E"
"973","A",42.9,55,"E"
"974","A",44.6,58.8,"E"
"975","A",39.7,27.5,"E"
"976","A",38.7,52.9,"E"
"977","A",47.4,64.3,"A"
"978","A",32.2,58.4,"B"
"979","A",51.3,69.5,"E"
"980","A",66,73.3,"E"
"981","A",46.7,52.5,"C"
"982","A",56.8,55.6,"H"
"983","B",53.5,42.4,"H"
"984","A",41.9,45,"H"
"985","A",52.2,39.8,"E"
"986","A",69,43.3,"A"
"987","A",34.1,43.2,"E"
"988","A",48.4,50.4,"E"
"989","A",39.7,56.8,"H"
"990","A",35.4,49.6,"A"
"991","A",46.1,53,"G"
"992","B",38.5,52.1,"H"
"993","A",49.4,48.9,"H"
"994","A",30.7,32.6,"H"
"995","A",43.4,46.1,"H"
"996","A",39.7,44.9,"C"
"997","B",39.6,50.5,"H"
"998","B",59.4,64.2,"E"
"999","A",42.3,57,"H"
"1000","A",43,70,"A"
"1001","A",50.8,50,"E"
"1002","A",33.5,49.5,"A"
"1003","A",33.6,60.8,"A"
"1004","B",60.3,53.5,"E"
"1005","A",51,64.9,"E"
"1006","A",36.3,28.3,"E"
"1007","A",43.9,61.8,"E"
"1008","B",23.8,29.4,"H"
"1009","B",46,47.3,"E"
"1010","B",18.4,13.9,"E"
"1011","A",39.4,58.1,"E"
"1012","A",56.9,70.4,"A"
"1013","A",29.3,22.5,"E"
"1014","A",61.3,64.4,"H"
"1015","A",32.9,41,"A"
"1016","A",36.4,38,"E"
"1017","A",53.4,32.8,"H"
"1018","A",35.3,37.5,"A"
"1019","B",23.9,37.7,"C"
"1020","A",32.3,36.6,"E"
"1021","A",40.4,57.2,"H"
"1022","A",43.8,62.8,"H"
"1023","E",33.7,62.3,"A"
"1024","A",34,66.2,"E"
"1025","B",32.2,47.8,"H"
"1026","B",37.1,64.5,"G"
"1027","A",33.3,40.5,"H"
"1028","A",49.4,60.9,"H"
"1029","A",28.1,42.8,"E"
"1030","A",39.8,73.8,"E"
"1031","A",42.5,62.8,"H"
"1032","A",42.8,49.2,"B"
"1033","A",45.7,62.9,"E"
"1034","A",43.9,63.2,"H"
"1035","A",29.7,36.3,"E"
"1036","A",38.8,50.6,"C"
"1037","A",32.1,47.3,"H"
"1038","A",32.3,45,"A"
"1039","A",25.9,22.5,"H"
"1040","A",37.3,59.1,"G"
"1041","A",35.5,37.5,"H"
"1042","A",29.9,22.5,"H"
"1043","A",43.1,52.6,"E"
"1044","A",48.2,66.9,"H"
"1045","A",47.5,77.6,"H"
"1046","A",36.1,67.9,"E"
"1047","A",38.1,54.8,"A"
"1048","A",46.4,57.1,"A"
"1049","A",37.2,52,"H"
"1050","A",29.5,58.7,"E"
"1051","A",32.4,59.9,"E"
"1052","A",32.8,46.7,"H"
"1053","A",35.6,57.7,"H"
"1054","B",40.9,63.2,"E"
"1055","A",25.9,43.5,"E"
"1056","B",39.7,47.9,"G"
"1057","C",41.5,26.3,"E"
"1058","E",43.2,58.8,"H"
"1059","A",56.8,75.6,"E"
"1060","A",44.6,45,"B"
"1061","A",44,38.1,"A"
"1062","A",51.4,47.1,"H"
"1063","A",46,36.2,"H"
"1064","C",44.9,63,"C"
"1065","A",45.2,51.2,"B"
"1066","A",39.2,42.7,"H"
"1067","A",43.6,50.9,"A"
"1068","A",41.7,52.9,"C"
"1069","B",49.3,64.1,"B"
"1070","A",55.1,68.7,"E"
"1071","E",33.1,40.7,"D"
"1072","A",28.3,48.2,"E"
"1073","A",46.6,51.4,"C"
"1074","B",42.6,60.8,"H"
"1075","A",59.7,66.1,"A"
"1076","A",48.4,37.5,"H"
"1077","B",34.6,44.4,"E"
"1078","A",30.1,55.4,"H"
"1079","A",43.3,55.4,"C"
"1080","A",53.6,48.3,"E"
"1081","A",33,30,"A"
"1082","A",41.2,60.5,"E"
"1083","A",51.6,46.7,"A"
"1084","A",54.5,58.3,"H"
"1085","A",43.3,43.6,"H"
"1086","A",38.8,48.5,"A"
"1087","A",58.3,57.6,"H"
"1088","A",48.7,59.9,"E"
"1089","A",53.6,52.8,"G"
"1090","A",58.5,55.4,"H"
"1091","A",48.8,64.8,"A"
"1092","A",59.5,55,"H"
"1093","A",54,52.5,"E"
"1094","C",30,7.5,"E"
"1095","A",47.8,72.5,"A"
"1096","A",37.9,43.5,"A"
"1097","A",35.8,44.6,"E"
"1098","A",53.2,52.3,"H"
"1099","A",55.3,62.8,"B"
"1100","A",55.3,73.4,"A"
"1101","A",56.6,63,"B"
"1102","A",29.3,36.2,"G"
"1103","B",56.8,74.6,"H"
"1104","A",36,56.8,"C"
"1105","A",28.9,41.3,"H"
"1106",NA,33.1,41.7,NA
"1107","A",42.9,44.7,"A"
"1108","A",37.4,55,"A"
"1109","A",33.2,43.3,"G"
"1110","A",48.4,35.3,"G"
"1111","A",26.2,23.6,"C"
"1112","A",44.8,74,"A"
"1113","A",26,65.7,"H"
"1114","E",48.2,54.8,"H"
"1115","A",32.9,60.2,"G"
"1116","A",22.4,22.5,"B"
"1117","A",38.8,52.4,"G"
"1118","A",36.3,39.4,"E"
"1119","A",24.7,51.5,"H"
"1120","A",43.2,62.3,"H"
"1121","A",43.6,69.5,"A"
"1122","A",36.1,39.5,"H"
"1123","B",26.2,38.6,"E"
"1124","A",33.1,58.2,"H"
"1125","A",46.8,66.4,"C"
"1126","A",24.3,62.6,"G"
"1127","A",30.8,60.2,"A"
"1128","A",28.6,63.9,"C"
"1129","A",23.6,48.5,"H"
"1130","A",53.8,58.4,"H"
"1131","C",13.4,27.9,"H"
"1132","A",24,67.3,"A"
"1133","B",23.4,42.6,"B"
"1134","A",29.1,65.3,"A"
"1135","A",44,68.1,"E"
"1136","A",26.4,37,"H"
"1137","A",42.9,51.7,"E"
"1138","A",47.2,76.9,"G"
"1139","A",27,43.6,"H"
"1140","A",37.2,42.2,"E"
"1141","A",44.3,66.9,"H"
"1142","A",32.4,43,"A"
"1143","A",26.9,52.5,"E"
"1144","A",45.3,68.7,"A"
"1145","A",55.7,81.8,"E"
"1146","A",43.7,64.3,"E"
"1147","A",42.6,73.4,"G"
"1148","A",27.9,42.5,"A"
"1149","A",30.7,38.8,"H"
"1150","A",28,26.9,"E"
"1151","A",54,59.2,"A"
"1152","A",26.1,15,"B"
"1153","A",66.4,69,"H"
"1154","A",27.3,54.2,"E"
"1155","A",27,43.5,"H"
"1156","E",52.2,81.2,"H"
"1157","A",54.2,65.4,"G"
"1158","A",16.4,55.2,"E"
"1159","B",50.7,63.2,"A"
"1160","A",35.9,61.7,"H"
"1161","A",53.1,59.3,"H"
"1162","A",37.4,49.2,"A"
"1163","A",41.2,41.6,"H"
"1164","A",34.2,43.9,"C"
"1165","A",37.1,61.9,"H"
"1166","A",43.4,55.2,"A"
"1167","A",34.1,36.7,"A"
"1168","A",42.7,64.7,"H"
"1169","A",56.3,70.7,"E"
"1170","A",52.4,72,"A"
"1171","A",36.1,79.4,"A"
"1172","A",48.1,93.6,"H"
"1173","A",27.7,55.2,"C"
"1174","A",49.4,46.8,"A"
"1175","A",49.6,75.8,"E"
"1176","A",41.9,94.8,"C"
"1177","A",63.1,79.1,"A"
"1178","A",41.5,78.8,"A"
"1179","A",22.7,41.1,"C"
"1180","A",45.9,79.4,"A"
"1181","A",53.1,84.1,"C"
"1182","A",53.2,66.1,"E"
"1183","A",45.1,79.8,"E"
"1184","A",41.8,45,"C"
"1185","A",28.5,30,"A"
"1186","A",38.1,65.2,"A"
"1187","A",58.3,64.5,"E"
"1188","A",33.3,54.7,"H"
"1189","A",48.1,56.9,"E"
"1190","A",47.4,52.2,"C"
"1191","A",37.8,58.6,"A"
"1192","A",44.1,73,"H"
"1193","A",57.1,86.1,"A"
"1194","A",68.5,82.1,"A"
"1195","A",55.3,71,"E"
"1196","A",47.9,80.9,"E"
"1197","A",42.6,67.1,"C"
"1198","A",43.9,56.9,"E"
"1199","A",39.2,50.6,"A"
"1200","A",46.3,68.5,"E"
"1201","A",41.7,50.5,"A"
"1202","B",45,61.3,"C"
"1203","B",35,31.6,"E"
"1204","E",54.9,48.7,"H"
"1205","A",44.9,59.5,"E"
"1206","B",49.4,59.4,"H"
"1207","A",39.8,58.6,"E"
"1208","A",34.1,53,"E"
"1209","A",47.4,38.8,"E"
"1210","A",46.2,55.9,"F"
"1211","A",52.1,64.9,"E"
"1212","B",47.4,53.9,"E"
"1213","B",49.3,34.7,"E"
"1214","B",30.4,51.1,"C"
"1215","A",44.3,46.9,"E"
"1216","A",39.5,15,"E"
"1217","A",35,51.5,"G"
"1218","A",59,71.1,"A"
"1219","A",31.5,40,"E"
"1220","A",54.7,51,"E"
"1221","B",43,61.6,"E"
"1222","A",57.8,78.8,"E"
"1223","A",60.8,59.4,"B"
"1224","A",44.2,54.8,"E"
"1225","A",65.3,76,"H"
"1226","B",43.1,48.3,"A"
"1227","A",49.2,50.5,"G"
"1228","B",39.1,65.3,"G"
"1229","D",50.6,63.9,"A"
"1230","A",64.4,55.4,"E"
"1231","B",43.4,71.4,"G"
"1232","A",49.2,44.4,"H"
"1233","A",34.9,52.3,"C"
"1234","A",46.5,48.1,"E"
"1235","B",63.1,65.7,"E"
"1236","A",48.1,49,"H"
"1237","A",60.4,67.2,"E"
"1238","B",22.8,33,"H"
"1239","C",34.4,30,"E"
"1240","A",49.6,55.4,"A"
"1241","A",43.6,47.8,"H"
"1242","A",36.7,30,"G"
"1243","A",44.3,47.5,"G"
"1244","A",61.5,65.5,"E"
"1245","A",43.3,73.8,"H"
"1246","A",46.8,57.4,"A"
"1247","A",40.7,55.9,"E"
"1248","A",59.2,60.8,"H"
"1249","A",27.1,40.9,"H"
"1250","A",74.6,72.3,"E"
"1251","A",57.2,56.1,"B"
"1252","B",35.8,37.1,"H"
"1253","A",52.4,52.8,"E"
"1254","E",45.5,47.1,"E"
"1255","A",73.3,70.1,"H"
"1256","A",73.9,90.5,"E"
"1257","A",42.3,43.6,"C"
"1258","A",45.1,36.6,"E"
"1259","A",59.5,30,"H"
"1260","A",48.9,59.2,"E"
"1261","A",46.1,67.6,"E"
"1262","A",43.2,57.6,"B"
"1263","A",42.8,38,"G"
"1264","A",37.3,53.8,"H"
"1265","A",62.6,65.6,"E"
"1266","A",42,81.5,"H"
"1267","A",27.1,23.3,"G"
"1268","A",45.6,48.1,"H"
"1269","A",29.7,32.5,"G"
"1270","A",53,65.5,"A"
"1271","A",63.8,65.9,"B"
"1272","A",56.3,58.4,"A"
"1273","A",49.1,63.1,"G"
"1274","A",47.5,77.9,"H"
"1275","A",65.8,59.4,"G"
"1276","A",35.6,48.6,"H"
"1277","A",39.9,49.7,"H"
"1278",NA,56.3,60,NA
"1279","B",46.7,42.6,"E"
"1280","A",57.6,37,"H"
"1281","A",18.8,36.5,"H"
"1282","A",44.2,49.4,"H"
"1283","A",70.9,58.2,"E"
"1284","B",52.6,64.3,"E"
"1285","A",38.7,54.1,"H"
"1286",NA,70.3,78.4,NA
"1287","A",61.9,59,"E"
"1288","A",62.5,57.2,"E"
"1289","A",50.8,56,"E"
"1290","E",31.8,41.5,"H"
"1291","A",43.9,49.7,"E"
"1292","A",28.3,45.5,"H"
"1293","A",68.6,80.3,"E"
"1294","A",49.3,57.3,"H"
"1295","A",47.2,56.9,"E"
"1296","A",62.5,68.9,"E"
"1297","A",41.4,42.1,"H"
"1298","C",54.3,75.4,"E"
"1299","A",65.2,45,"E"
"1300","A",72.4,84.7,"E"
"1301","A",79,89.3,"E"
"1302","A",45.3,53.5,"E"
"1303","A",40.3,52.7,"H"
"1304","A",60.3,61.5,"E"
"1305","A",48.2,78.3,"H"
"1306","A",36.6,65.1,"E"
"1307","A",30.7,56.8,"H"
"1308","A",40.6,68.5,"H"
"1309","A",34.4,42.9,"A"
"1310","A",35.7,60.1,"C"
"1311","A",36.9,60,"C"
"1312","A",49,65,"A"
"1313","A",28.4,38.4,"H"
"1314","B",51,60.4,"B"
"1315","A",47.5,85.6,"E"
"1316","A",46.7,67.7,"A"
"1317","B",42.3,66.1,"H"
"1318","E",44.5,85.3,"A"
"1319","A",35,67.5,"H"
"1320","A",29.7,36.2,"H"
"1321","A",28.8,32.7,"H"
"1322","B",44.2,34.9,"G"
"1323","A",46.3,56.3,"H"
"1324","A",49,54.1,"E"
"1325","A",30.8,47.7,"F"
"1326","A",39.2,68.4,"A"
"1327","A",42.8,62.5,"H"
"1328","A",30.9,47.9,"A"
"1329","A",26.8,37.5,"A"
"1330","A",40.4,71.6,"H"
"1331","A",20.5,38.3,"A"
"1332","A",42.1,44.8,"E"
"1333","A",46.4,61.8,"B"
"1334","A",34,71.5,"D"
"1335","A",16.8,44.2,"H"
"1336","A",42.2,57.2,"C"
"1337","A",33.9,40.6,"E"
"1338","A",31,55.5,"C"
"1339","A",39.5,57.8,"E"
"1340","A",37.9,55.6,"E"
"1341","A",9.1,25.1,"H"
"1342","A",48.8,74.4,"G"
"1343","A",28.5,61.1,"H"
"1344","A",23.5,47.5,"E"
"1345","A",21.6,56.3,"E"
"1346","A",27.7,6.4,"H"
"1347","A",40.8,57.2,"E"
"1348","A",31.3,44.3,"H"
"1349","A",42.1,57.6,"A"
"1350","A",18.8,28.5,"B"
"1351","A",30.2,27.9,"E"
"1352","A",40.9,72.8,"H"
"1353","A",34.3,54.7,"A"
"1354","A",37.5,63.1,"A"
"1355","A",29.6,57.3,"H"
"1356","A",39.4,52.7,"A"
"1357",NA,37.6,53.2,NA
"1358","A",51.4,49.4,"E"
"1359","A",38.3,46.9,"G"
"1360","A",47.8,59.1,"H"
"1361","A",57.6,87,"E"
"1362","A",46.8,65.9,"E"
"1363","A",33.6,62.4,"A"
"1364","A",21.3,22.8,"E"
"1365","A",32.5,44.3,"C"
"1366","A",30.6,58.6,"E"
"1367","A",31.4,57.6,"E"
"1368","A",49.2,64,"H"
"1369","A",44.1,55.2,"A"
"1370",NA,55.6,67.4,NA
"1371","A",48.5,61,"A"
"1372","A",49.8,90.2,"G"
"1373",NA,54.3,73.6,NA
"1374","A",42,48.9,"E"
"1375","A",54,71.2,"H"
"1376","A",46.2,64.2,"H"
"1377","A",28.1,15,"A"
"1378","A",42.4,57.1,"A"
"1379",NA,40.1,22.3,NA
"1380","A",58.4,59.4,"E"
"1381",NA,33.2,44.9,NA
"1382","A",30.7,49.1,"H"
"1383","E",34.6,74.4,"E"
"1384",NA,29.6,37.5,NA
"1385","B",37.2,51.9,"A"
"1386","A",29.4,68.8,"E"
"1387","A",60.6,58.8,"H"
"1388","A",40,67.5,"H"
"1389","A",50.2,53.6,"H"
"1390","A",43.3,62.5,"H"
"1391","A",38.1,61.6,"H"
"1392","A",66.3,77.2,"E"
"1393","A",46.4,53.6,"E"
"1394","A",41.9,46.3,"E"
"1395","A",32.7,54.8,"H"
"1396","B",34.9,45.6,"B"
"1397","E",40.7,64.5,"G"
"1398",NA,39.8,48.6,NA
"1399","B",63.8,59.6,"C"
"1400","B",40.7,39.9,"H"
"1401","A",56.6,76.2,"H"
"1402","A",53.6,76.6,"H"
"1403","B",35.7,53.2,"A"
"1404","E",47.4,61,"A"
"1405","A",50.8,56.3,"E"
"1406","A",41.5,75.2,"A"
"1407","A",56.4,67.6,"G"
"1408","A",45.2,50.4,"H"
"1409","A",35.9,57.3,"A"
"1410","D",37.6,44.1,"A"
"1411",NA,13.2,30,NA
"1412","A",54.2,71.5,"H"
"1413","A",53.6,86.7,"H"
"1414","A",40.6,45.6,"B"
"1415","A",35.9,34.4,"H"
"1416","A",43.9,51.4,"E"
"1417","A",45.3,43.3,"E"
"1418","A",39.5,21.8,"G"
"1419","A",26.4,19.1,"H"
"1420","A",53.3,63,"H"
"1421","A",40.6,49.1,"E"
"1422","A",51.6,56.5,"G"
"1423","A",10.9,25.4,"B"
"1424","A",27.2,40.5,"H"
"1425","E",35.9,37.5,"A"
"1426","A",43.4,49.5,"E"
"1427","A",47.9,50.5,"G"
"1428","A",42.6,73.4,"H"
"1429","B",23.8,43.7,"G"
"1430","A",51.7,58.2,"E"
"1431","A",35,29.4,"C"
"1432","A",44,36.6,"G"
"1433","B",43.1,49.2,"E"
"1434","A",65.4,90.5,"C"
"1435","A",73.6,72.2,"E"
"1436","A",73.9,86.4,"E"
"1437","A",47.6,49.2,"E"
"1438","A",29.9,40.9,"E"
"1439","A",65.8,67,"E"
"1440","A",40.6,28.8,"C"
"1441","A",75.8,87.9,"C"
"1442","A",68.8,83.5,"A"
"1443","A",64.7,64.6,"E"
"1444","A",50.6,67.2,"H"
"1445","B",68.2,70.6,"C"
"1446","A",75.1,70.5,"H"
"1447","A",71.1,64.7,"A"
"1448","A",53.7,64.5,"E"
"1449","A",62.3,65.1,"H"
"1450","A",70,72.2,"E"
"1451","A",73,70,"E"
"1452","A",53.3,81.1,"H"
"1453","A",39.8,37.5,"E"
"1454","A",80.2,89.5,"H"
"1455","A",68.5,83.9,"E"
"1456","A",55.7,57,"C"
"1457","A",70.1,71.4,"E"
"1458","A",76.4,88.8,"E"
"1459","A",76.9,59.3,"H"
"1460","A",64.7,73,"E"
"1461","A",76.4,69.6,"E"
"1462","A",60.5,72.7,"E"
"1463","A",77.8,82.9,"E"
"1464","A",64.5,57.1,"A"
"1465","A",60.5,70.8,"H"
"1466","A",65.2,71.9,"E"
"1467","C",64,62,"E"
"1468","A",50,57.3,"E"
"1469","A",84.8,80,"H"
"1470","A",70.1,70.9,"H"
"1471","A",77,74.9,"H"
"1472","A",66.1,75.8,"A"
"1473","A",62.6,69.5,"E"
"1474","A",56.5,58.5,"H"
"1475","A",61.2,79.7,"H"
"1476","A",64.9,72.6,"H"
"1477","A",66.8,65.6,"E"
"1478","A",73.7,71,"E"
"1479","A",53.1,61.9,"E"
"1480","A",74.6,90.4,"E"
"1481","A",53.9,60,"E"
"1482","A",38.2,41.1,"E"
"1483","A",34,49.8,"A"
"1484","A",32.6,55.5,"E"
"1485","C",40.6,60.1,"E"
"1486","A",43.6,29.3,"E"
"1487","A",39.9,52.2,"H"
"1488","A",69.7,61.8,"E"
"1489","B",44.4,51.6,"E"
"1490","A",53.8,74.1,"A"
"1491","A",33.5,40.5,"E"
"1492","A",29,37.5,"E"
"1493","B",27.8,22.5,"E"
"1494","A",51.7,45,"H"
"1495","A",40.7,58.8,"E"
"1496","A",49.1,55.4,"H"
"1497","A",48.7,52.5,"H"
"1498","E",33.8,37.5,"E"
"1499","A",39.7,50.5,"E"
"1500","B",29.8,46.1,"A"
"1501","B",16.3,41.9,"H"
"1502","B",46.8,59.6,"A"
"1503","A",49.8,60.4,"A"
"1504","A",46.9,60.2,"A"
"1505","A",40.3,56.9,"H"
"1506","B",34.2,32.5,"E"
"1507","A",25.3,54.5,"E"
"1508","B",36.7,77,"A"
"1509","A",34.4,41.8,"A"
"1510","C",38,53.1,"G"
"1511","E",47.7,65.7,"A"
"1512","A",33.3,44.6,"H"
"1513","A",41.6,70.6,"E"
"1514","A",49.4,54.2,"H"
"1515","B",29.8,54.6,"B"
"1516","A",45.8,61,"A"
"1517","A",28.4,32.7,"E"
"1518","A",43,63.8,"A"
"1519","A",63.1,80.4,"H"
"1520","A",37.2,71.7,"G"
"1521","A",32.8,53.9,"H"
"1522","A",48,74.2,"A"
"1523","A",23.9,44.5,"H"
"1524","B",27.3,47.5,"E"
"1525","B",31.5,41.1,"E"
"1526","A",28.5,67.5,"A"
"1527","A",31.1,66.5,"E"
"1528","A",35.9,69.4,"E"
"1529","A",21.9,41,"H"
"1530","B",31.2,49.3,"H"
"1531","A",37.2,48.5,"A"
"1532","A",58.5,49,"E"
"1533","A",20.2,34.2,"B"
"1534","B",49.4,46.9,"H"
"1535",NA,45.5,58.4,NA
"1536","A",36.6,65.5,"E"
"1537","A",48.4,44.4,"A"
"1538","A",55,66.1,"C"
"1539","B",59.4,81.6,"A"
"1540","A",32.1,49.5,"E"
"1541","A",64.6,83.7,"E"
"1542","A",45.7,66.8,"H"
"1543","B",45.2,64.5,"B"
"1544","A",55,57,"E"
"1545","A",35,70.3,"H"
"1546","A",63.2,63,"H"
"1547","A",47.2,61.1,"A"
"1548","A",49.9,60.5,"H"
"1549","A",52.5,63.3,"E"
"1550","A",44.9,65.9,"G"
"1551","A",64,64.1,"H"
"1552","A",36.5,62,"A"
"1553","A",73.9,87.1,"H"
"1554","A",52.7,53.8,"A"
"1555","C",63.5,53.4,"E"
"1556","A",53,63.6,"H"
"1557","A",51.7,67.9,"E"
"1558","A",36.2,52.2,"E"
"1559","A",42.2,30,"E"
"1560","A",75.4,64.4,"H"
"1561","A",45.4,62,"E"
"1562","A",43.8,59,"C"
"1563","A",52.7,59.2,"H"
"1564","A",51.2,7.5,"H"
"1565","A",53.6,54.3,"H"
"1566","B",65.2,67.1,"H"
"1567","A",32.5,41.2,"G"
"1568","A",43.4,49.1,"A"
"1569","B",32.6,47.1,"H"
"1570","B",62.1,55.6,"E"
"1571","A",66.2,80.5,"H"
"1572","C",44.5,62.2,"E"
"1573","A",63.9,69.9,"E"
"1574","B",68.2,72.1,"H"
"1575","A",41.6,46.3,"H"
"1576","A",41.4,58.8,"E"
"1577","A",31.7,38.1,"E"
"1578","A",64.5,69.1,"H"
"1579","A",66.3,61.3,"B"
"1580","A",69.3,76.4,"E"
"1581","A",38.6,36.8,"E"
"1582","A",54.3,42.4,"H"
"1583","A",50.1,63.9,"E"
"1584","B",56.5,55.3,"H"
"1585","B",41.2,44.7,"H"
"1586","A",52,59.8,"A"
"1587","B",62.7,73.3,"E"
"1588","A",35.9,44,"E"
"1589","B",51.7,45.2,"A"
"1590","A",50.5,72.6,"H"
"1591","A",66.1,59,"A"
"1592","A",55.2,34.6,"H"
"1593","B",43.5,32.7,"E"
"1594","A",54.9,60.2,"B"
"1595","A",49.3,55.9,"H"
"1596","A",52.1,70.4,"A"
"1597","B",40,57.5,"A"
"1598","A",54.1,55.6,"E"
"1599","E",53.8,55.9,"H"
"1600","E",55.7,42.1,"H"
"1601","B",74,80.4,"E"
"1602","A",48.1,59.2,"E"
"1603","A",42,51.3,"G"
"1604","A",48.8,45,"H"
"1605","A",53.1,61.9,"E"
"1606","A",57.7,44.5,"B"
"1607","A",47.3,48.6,"E"
"1608","A",61,28.7,"H"
"1609","A",63.8,74.7,"E"
"1610","A",53.9,65.5,"E"
"1611","A",59.9,60,"E"
"1612","A",58.3,64.3,"E"
"1613","A",49,59.2,"A"
"1614","A",38.8,43.4,"B"
"1615","A",43,52.9,"E"
"1616","B",46.5,48,"E"
"1617","A",52.4,61.2,"G"
"1618","A",57.5,56.4,"E"
"1619","B",21.4,54.5,"B"
"1620","A",45.4,49.7,"H"
"1621","A",41.5,86.9,"H"
"1622","B",54.3,79.4,"A"
"1623","A",59.5,49.9,"H"
"1624","B",54.4,62.9,"H"
"1625","A",47.4,52.8,"E"
"1626","A",32.6,49.2,"E"
"1627","A",55.5,58.4,"E"
"1628","A",26.6,39.6,"A"
"1629","A",37.6,46.7,"H"
"1630","A",59.8,40.6,"H"
"1631","A",27.1,29.3,"A"
"1632","A",42.6,60.4,"C"
"1633","A",59.1,58.6,"C"
"1634","A",38.5,36.2,"E"
"1635","B",47.4,45.8,"A"
"1636","B",41.3,42.3,"G"
"1637","A",51.2,54.9,"H"
"1638","A",55.4,78,"E"
"1639","A",42.4,29.8,"H"
"1640","A",47.6,31.2,"H"
"1641","A",39.7,41.6,"H"
